ï..sample,pop,super,X_pop.......gender,
674,HG01879,ACB,AFR,male
675,HG01880,ACB,AFR,female
676,HG01882,ACB,AFR,male
677,HG01883,ACB,AFR,female
678,HG01885,ACB,AFR,male
679,HG01886,ACB,AFR,female
680,HG01889,ACB,AFR,female
681,HG01890,ACB,AFR,male
684,HG01894,ACB,AFR,female
685,HG01896,ACB,AFR,female
686,HG01912,ACB,AFR,male
687,HG01914,ACB,AFR,male
688,HG01915,ACB,AFR,female
713,HG01956,ACB,AFR,female
714,HG01958,ACB,AFR,female
728,HG01985,ACB,AFR,female
729,HG01986,ACB,AFR,male
730,HG01988,ACB,AFR,male
731,HG01989,ACB,AFR,female
732,HG01990,ACB,AFR,male
740,HG02009,ACB,AFR,male
741,HG02010,ACB,AFR,female
742,HG02012,ACB,AFR,female
743,HG02013,ACB,AFR,male
744,HG02014,ACB,AFR,male
762,HG02051,ACB,AFR,male
763,HG02052,ACB,AFR,female
764,HG02053,ACB,AFR,male
765,HG02054,ACB,AFR,female
789,HG02095,ACB,AFR,female
793,HG02107,ACB,AFR,male
794,HG02108,ACB,AFR,female
795,HG02111,ACB,AFR,female
813,HG02143,ACB,AFR,male
814,HG02144,ACB,AFR,female
855,HG02255,ACB,AFR,male
856,HG02256,ACB,AFR,female
868,HG02281,ACB,AFR,male
869,HG02282,ACB,AFR,female
870,HG02283,ACB,AFR,male
871,HG02284,ACB,AFR,male
880,HG02307,ACB,AFR,male
881,HG02308,ACB,AFR,female
882,HG02309,ACB,AFR,female
884,HG02314,ACB,AFR,male
885,HG02315,ACB,AFR,female
886,HG02317,ACB,AFR,male
887,HG02318,ACB,AFR,female
888,HG02322,ACB,AFR,female
889,HG02323,ACB,AFR,male
890,HG02325,ACB,AFR,female
891,HG02330,ACB,AFR,male
892,HG02332,ACB,AFR,male
893,HG02334,ACB,AFR,male
894,HG02337,ACB,AFR,female
895,HG02339,ACB,AFR,female
896,HG02343,ACB,AFR,male
934,HG02419,ACB,AFR,female
935,HG02420,ACB,AFR,male
937,HG02427,ACB,AFR,female
938,HG02429,ACB,AFR,male
939,HG02433,ACB,AFR,male
940,HG02439,ACB,AFR,male
941,HG02442,ACB,AFR,male
942,HG02445,ACB,AFR,male
943,HG02449,ACB,AFR,male
944,HG02450,ACB,AFR,female
945,HG02455,ACB,AFR,male
946,HG02461,GWD,AFR,male
947,HG02462,GWD,AFR,female
948,HG02464,GWD,AFR,male
949,HG02465,GWD,AFR,female
950,HG02470,ACB,AFR,male
951,HG02471,ACB,AFR,female
952,HG02476,ACB,AFR,female
953,HG02477,ACB,AFR,female
954,HG02479,ACB,AFR,female
955,HG02481,ACB,AFR,male
956,HG02484,ACB,AFR,male
957,HG02485,ACB,AFR,female
958,HG02489,ACB,AFR,male
963,HG02496,ACB,AFR,male
964,HG02497,ACB,AFR,female
965,HG02501,ACB,AFR,male
966,HG02502,ACB,AFR,female
967,HG02505,ACB,AFR,female
968,HG02508,ACB,AFR,female
969,HG02511,ACB,AFR,female
974,HG02536,ACB,AFR,male
975,HG02537,ACB,AFR,female
976,HG02541,ACB,AFR,male
977,HG02545,ACB,AFR,male
978,HG02546,ACB,AFR,female
979,HG02549,ACB,AFR,female
980,HG02554,ACB,AFR,male
981,HG02555,ACB,AFR,female
982,HG02557,ACB,AFR,male
983,HG02558,ACB,AFR,female
984,HG02561,GWD,AFR,male
985,HG02562,GWD,AFR,female
986,HG02568,GWD,AFR,female
987,HG02570,GWD,AFR,male
988,HG02571,GWD,AFR,female
989,HG02573,GWD,AFR,male
990,HG02574,GWD,AFR,female
991,HG02577,ACB,AFR,female
992,HG02580,ACB,AFR,female
993,HG02582,GWD,AFR,male
994,HG02583,GWD,AFR,female
995,HG02585,GWD,AFR,male
996,HG02586,GWD,AFR,female
997,HG02588,GWD,AFR,male
998,HG02589,GWD,AFR,female
999,HG02594,GWD,AFR,male
1000,HG02595,GWD,AFR,female
1006,HG02610,GWD,AFR,male
1007,HG02611,GWD,AFR,female
1008,HG02613,GWD,AFR,male
1009,HG02614,GWD,AFR,female
1010,HG02620,GWD,AFR,male
1011,HG02621,GWD,AFR,female
1012,HG02623,GWD,AFR,male
1013,HG02624,GWD,AFR,female
1014,HG02628,GWD,AFR,male
1015,HG02629,GWD,AFR,female
1016,HG02634,GWD,AFR,male
1017,HG02635,GWD,AFR,female
1018,HG02642,GWD,AFR,male
1019,HG02643,GWD,AFR,female
1020,HG02645,GWD,AFR,male
1021,HG02646,GWD,AFR,female
1032,HG02666,GWD,AFR,male
1033,HG02667,GWD,AFR,female
1034,HG02675,GWD,AFR,male
1035,HG02676,GWD,AFR,female
1036,HG02678,GWD,AFR,male
1037,HG02679,GWD,AFR,female
1051,HG02702,GWD,AFR,male
1052,HG02703,GWD,AFR,female
1053,HG02715,GWD,AFR,male
1054,HG02716,GWD,AFR,female
1055,HG02721,GWD,AFR,male
1056,HG02722,GWD,AFR,female
1066,HG02756,GWD,AFR,male
1067,HG02757,GWD,AFR,female
1068,HG02759,GWD,AFR,male
1069,HG02760,GWD,AFR,female
1070,HG02763,GWD,AFR,female
1071,HG02768,GWD,AFR,male
1072,HG02769,GWD,AFR,female
1073,HG02771,GWD,AFR,male
1074,HG02772,GWD,AFR,female
1087,HG02798,GWD,AFR,male
1088,HG02799,GWD,AFR,female
1089,HG02804,GWD,AFR,male
1090,HG02805,GWD,AFR,female
1091,HG02807,GWD,AFR,male
1092,HG02808,GWD,AFR,female
1093,HG02810,GWD,AFR,male
1094,HG02811,GWD,AFR,female
1095,HG02813,GWD,AFR,male
1096,HG02814,GWD,AFR,female
1097,HG02816,GWD,AFR,male
1098,HG02817,GWD,AFR,female
1099,HG02819,GWD,AFR,male
1100,HG02820,GWD,AFR,female
